"CD_GEOCODM","LONG","LAT","ALT"
"1100015",-61.9998238962936,-11.9355403047646,337.735719
"1100023",-63.0332692780484,-9.9084628665672,138.688981
"1100031",-60.5443135812009,-13.4997634596963,236.06316
"1100049",-61.4429442118224,-11.4338650286852,177.453547
"1100056",-60.8184261646815,-13.1950330320399,262.811307
"1100064",-60.5550674630789,-13.1305638414553,419.090613
"1100072",-60.9487011706614,-12.9975202364834,269.171178
"1100080",-64.2316539391172,-12.4360138777142,145.213903
"1100098",-61.0201731132847,-11.5285546333473,262.527225
"1100106",-65.3239518196923,-10.7738837406705,133.414381
"1100114",-62.4762307081317,-10.4359487678844,162.551328
"1100122",-61.9450945826841,-10.882051318349,157.262673
"1100130",-61.9995925724466,-9.42556248,144.19909
"1100148",-62.308230163019,-11.7213254138559,259.417475
"1100155",-62.2610551904363,-10.7235739008135,252.167649
"1100189",-61.183665673642,-11.67753699,186.174033
"1100205",-63.8314456543611,-8.76889179,86.895415
"1100254",-61.9094386835298,-11.1732050162268,178.222375
"1100262",-62.9000103659589,-9.70553670973949,124.322215
"1100288",-61.7857809351854,-11.7222589133808,226.711103
"1100296",-61.7733054630545,-11.908423332469,265.234157
"1100304",-60.1385838660987,-12.7413734718029,595.093769
"1100320",-62.7200634814364,-11.699489743806,191.082628
"1100338",-65.3291490231467,-10.4117712947002,150.930604
"1100346",-62.2772748656972,-11.3441300234334,182.40013
"1100379",-61.853077168603,-12.1317772245709,396.560544
"1100403",-63.3176294334976,-9.71666673807728,128.000112
"1100452",-63.8296787917565,-10.2098054072356,153.171166
"1100502",-61.9943876627606,-11.7097429200152,229.511705
"1100601",-62.9031899345687,-10.3388728393928,161.056558
"1100700",-63.6249914265426,-10.5684164693485,206.148936
"1100809",-63.7000200718298,-8.78502070347748,84.750219
"1100908",-61.9491611964662,-11.4268422254625,214.995394
"1100924",-60.9018477499554,-12.5568407610938,340.299631
"1100940",-62.5871745319209,-9.37819339905712,110.959894
"1101005",-62.7404576394632,-10.6120717726075,201.781008
"1101104",-63.1823370165183,-9.19187167532785,98.95108
"1101203",-61.5189219301054,-11.1962379841591,266.291526
"1101302",-62.6694270952566,-11.045609289937,211.815643
"1101401",-63.2955591672175,-10.263097755883,155.400337
"1101435",-62.55508939888,-10.9155320416628,241.493724
"1101450",-61.5979979726776,-12.1798270507077,296.282838
"1101468",-61.0443790025384,-13.4765620024615,170.255529
"1101476",-61.3165462429165,-11.8257069542468,244.567351
"1101484",-61.5125081133327,-11.9143893546886,269.726767
"1101492",-63.5708647107649,-12.0637984122334,165.693726
"1101500",-63.0387609977072,-11.767116635607,185.830878
"1101559",-62.2559222539546,-10.9321692860399,191.34936
"1101609",-62.3451455299349,-10.2487305520261,191.598548
"1101708",-62.3706324537667,-11.1285452756794,197.170024
"1101757",-62.1768234421278,-9.85139270806179,157.665353
"1101807",-62.1343903568099,-10.4310526845565,153.994474
"1200013",-67.0523165800206,-10.0737938924635,205.894014
"1200054",-69.5634591746677,-10.9428656809172,234.866835
"1200104",-68.7479434259584,-11.0164110190858,188.324139
"1200138",-67.9518592792015,-9.82001962670938,198.174197
"1200179",-67.6735079719432,-10.5697677087928,212.303309
"1200203",-72.6725313174358,-7.63069000500981,183.079525
"1200252",-68.7448680666749,-11.0282398279564,206.036126
"1200302",-70.3539836082165,-8.16024753,159.822497
"1200328",-71.9508751248365,-9.19335785982848,264.977881
"1200336",-72.9165010261308,-7.59322259385836,187.065998
"1200344",-69.2599445775075,-8.83631773689166,162.133821
"1200351",-72.7902659086983,-8.95359112315366,214.910605
"1200385",-67.1882600861516,-10.3351332827427,129.189484
"1200393",-72.7423339648033,-8.26666636282753,201.805961
"1200401",-67.8105287004235,-9.97829875272498,137.865746
"1200427",-72.6478549141997,-7.73360203372322,189.585426
"1200435",-70.4864968937616,-9.44340653741185,216.72423
"1200450",-67.7431723600051,-10.1481735861989,207.924797
